,prev_transcript_clean,transcript_clean,is_grammatical,labels,note
2518390,sit.,all gone.,0,"subject, verb",
1310958,did you open it?,open it.,-1,,
1311562,it is warm today pretty day are you looking at my watch?,sun shine.,-1,"determiner, sv_agreement",
1311643,thank you.,thank you.,1,,
1312244,mm.,that car doesn't fit the train get the rest of the train.,1,,
1312759,there's only this big one.,big one.,-1,determiner,
1313199,there it is.,there it is.,1,,
1313934,you think there's some more?,mm more.,1,,
1314334,I'll close it there.,close it.,1,,repetition
1314547,well you have a little ball.,a ball.,1,,
1314623,okay you catch you catch okay you catch there okay my turn.,my turn.,1,,
1314870,you want ta look through it?,right there right there right there.,1,,
1314941,a back.,turn around.,0,subject,imperative?
1316264,in the wagon okay.,in a wagon.,1,,
1316609,not yet.,not yet.,1,,
1316677,more.,no more.,1,,
1316696,woof!,put on.,-1,object,imperative?
1316703,two.,lie down.,0,subject,imperative?
1316928,oh.,on there.,-1,preposition,
1317403,you're going to you're going to hurt your hair.,I do it.,1,,
1317598,that's very nice.,two three.,1,,
1318384,again.,here go.,-1,subject,
1319158,you take it out?,put back.,-1,object,
1319691,this one.,this one.,1,,
1319730,who me?,sit sit down.,0,subject,
1319852,what's that?,what's that that.,1,,
1320136,what are doing Peter?,take off this.,-1,other,word order
1320581,smoke.,look at that.,1,,
1320835,mhm.,upside down.,1,,
1320838,that's better what's this.,what's this?,1,,
1321070,that go round like that.,like that?,1,,
1321454,you want me to fix it?,you fix it.,1,,
1321504,donkey.,look at this.,1,,
1321626,not quite not quite finished yet.,finished yet?,1,,
1322047,it didn't ring.,get it.,0,subject,
1323162,you see another one?,another one.,1,,
1323948,you going to show it to me?,okay okay Patsy.,1,,
1324602,there's a car.,here's a car.,1,,
1325303,no don't pull it put it back in there there.,one two three four three four three four.,1,,
1325400,goes right.,goes right there.,-1,subject,elaboration?
1325833,thank you you want ta make sure you're heard don't you?,what's that?,1,,
1326294,that's mine.,that's mine.,1,,
1326514,who's that?,little girl.,-1,determiner,
1327007,?,set go.,1,,
1327115,good bye.,see ya.,1,,
1327337,didn't you?,I did.,1,,
1327356,can you make one?,I do.,-1,,
1327623,well you bring me the tape and I'll put some on there.,right down there tape recorder tape.,-1,verb,
1327769,oh you're going to put it back and get another one?,get another one.,-1,subject,
1328037,the top uhhuh.,I write.,1,,
1328123,there.,turn the light on.,0,subject,imperative?
1328515,what?,over there.,1,,
1328684,turn let me see that's right turn hard though.,this way.,1,,
1328818,oops what I do.,one two.,1,,
1329073,do you want me to do it?,I get it.,1,,
1329102,well open it up and see if it's empty first.,that one.,1,,
1329248,that's a nice one yeah.,up here.,1,,
1329258,oh what kind of tree?,kind a tree make a tree.,-1,preposition,
1329457,yes and you're a people?,me people.,-1,verb,
1329473,sorry.,I want more pretzels!,1,,
1330070,oh!,fire engine.,-1,determiner,
1330263,there it is.,there is is.,-1,object,repetition
1330986,what goes right here?,that goes there that goes there.,1,,
1331035,uhhuh.,like that.,1,,
1331318,meanwhile back at the car.,can't do it.,-1,subject,
1331440,very good.,where's the screw.,1,,
1331616,that's a problem isn't it?,like this.,1,,
1331694,what're you looking for?,look for my pencil.,-1,subject,
1331884,well write on that paper Pete this one over here's mine.,this is.,-1,object,
1332247,I want a pretzels!,up there.,1,,
1332445,look in a bag.,look I found.,-1,object,
1332563,it's too hard to throw it's not something to throw it's not something to throw.,I want that.,1,,
1332589,I want some lunch in there!,in there!,1,,
1332653,your apple juice?,apple juice.,-1,determiner,
1332783,I see a lot of doggies.,oh look.,1,,
1332872,where's the other where's the other girl?,where is it?,1,,
1332912,I want that one.,I want.,-1,object,repetition
1333184,where's the one that goes right here?,this goes there?,1,,
1333251,yeah.,okey dokey.,1,,
1333426,you take a bolt off.,and this.,1,,
1333890,there.,you do it.,1,,
1334033,thank you.,hi mommy.,1,,
1334391,goes in a what?,goes in.,-1,subject,
1334416,this paper you want?,no that.,-1,object,
1334703,hit.,that's funny.,1,,
1334879,right?,I wanna write.,1,,
1334940,label.,oh no.,1,,
1335186,I turn it off a tape recorder.,let me do it.,1,,
1335678,uhhuh.,one two three.,1,,
1335932,working the railroad.,what you doing?,-1,present_progressive,
1336015,alright I'll take Jenny away.,watch me.,1,,
1336087,back in the living room.,back in the doggie stuck.,-1,verb,
1336584,right.,that's all that's all.,1,,
1336641,uhhuh.,I guess.,1,,
1336920,she'll just sit on it.,I want sit on it too.,-1,preposition,
1336938,forgot to fasten the seat belt here we go.,here we go.,1,,
1336964,crash crash crash crash you have to be careful you can't run into people don't wanna have accidents.,oops a daisy oops a daisy.,1,,
1337283,what you got?,a car.,1,,
1337726,oh no it's not.,it's not.,1,,
1337908,no this one and this one.,and this one.,1,,
1338425,do you buy gum?,I buy gum I want some.,-1,object,
1338625,I don't think we have any more gum sweetie.,right there daddy get some store daddy.,-1,other,
1339302,can't see what?,can't see I want that.,-1,other,
1340517,no that glass.,no there.,1,,
1340878,there we are.,there we go.,1,,
1340933,oops I think.,that's a tape recorder.,1,,
1341147,no that one has four legs.,four legs.,1,,
1341556,okay why don't you tell her?,you sit here.,1,,
1341608,Peter now you broke it!,no we broke it.,1,,
1341623,no you cannot break that.,yes I did.,1,,
1342114,uhhuh.,where's the other one?,1,,
1342296,don't turn that!,stop it!,1,,
1342411,well it's all done now.,all done.,1,,
1343274,I'm sure uhhuh.,there's some more.,1,,
1343710,now I can't see I have to have my barrette because I can't see.,I can't see.,1,,
1343963,was Bill there?,no Bill there.,-1,verb,
1344034,uhhuh got some more furniture.,what's in there?,1,,
1344075,mhm.,who's that?,1,,
1344276,I don't know.,I don't know where my shoes are.,1,,
1345487,here are the waves.,what's on there?,1,,
1345515,where's Nana?,in New York.,1,,
1345743,okay.,and this is mine.,1,,
1345774,wait for you?,yeah look.,1,,
1346044,well not really.,not really.,1,,
1346211,who broke what?,who break who broke this?,1,,Self-correction
1346213,it just fell down by itself.,by a self.,-1,other,vocab?
1346345,in my pocketbook.,go get it.,0,,
1346624,okay fine.,your shoes.,1,,
1346902,little star all gone.,is it time a put it away.,-1,preposition,
1346967,on the table.,on the table.,1,,
1348098,no not a little train.,what you going to do?,-1,present_progressive,
1348136,no that's not a horse.,a cow.,1,,
1348156,uhhuh.,and what's this?,1,,
1349045,is that frescade?,yeah it's frescade yeah.,1,,
1349203,well close that one up and put it away.,close that one and.,1,,repetition
1349608,alright.,I want this.,1,,
1349609,I want this.,what's the matter?,1,,
1349638,well let me see.,let me see.,1,,
1350703,what's that?,a pen.,1,,
1350758,oh.,let's go.,1,,
1350790,sweetheart don't stick yourself in the eye with it.,need another one.,-1,subject,
1350875,mhm.,who is it?,1,,
1351091,mhm what do you want me to write?,don't write there okay Patsy want ta write want ta write.,-1,sv_agreement,
1351303,where?,over there!,1,,
1351610,I'm still a little wet from the rain.,wet in the rain oh get it.,-1,subject,
1352572,you want it now or you want ta wait until you eat your egg and bacon?,eat it.,0,subject,
1352699,why?,because it's.,-1,object,
1352747,that's a good place for the gas.,it's not going to come out.,1,,
1353242,mhm.,I'm going to screw you up.,1,,
1354025,I'm going to pay your money.,here's your money.,1,,
1354062,over here and then we'll put this over here too.,I wanna.,-1,object,
1354695,we can put them away now and then write some more later.,I know.,1,,
1354723,mhm for the bed room.,this is a bath.,1,,
1354837,daddy's tired.,open it up daddy's tired.,1,,
1355397,yours is different.,mine is different.,1,,
1355833,I'd rather pitch this ball.,that ball.,1,,
1355839,well I thought you were sposta use hold the bat with two hands.,bat with my hands and like that.,-1,"subject, verb, determiner",
1356059,that car's too small Jenny.,car too small.,-1,"determiner, verb",repetition
1356178,both of them fell over huh?,yeah spread his legs it can't stand up.,1,,
1356731,that's okay.,that's okay.,1,,
1356903,what's this?,that's a cow.,1,,
1357196,it's going to run in here in this one.,it's going to run in this one.,1,,
1357254,huh.,I want ta roll down again that's like em.,1,,
1357545,okay.,this too.,1,,
1357770,where.,is this a red one?,1,,
1357785,okay.,I want ta see if this comes out.,1,,
1358509,I hurt my okay.,I can't.,1,,
1359344,huh?,put some more water in here.,1,,
1360572,yeah it's for me.,they're my toys.,1,,
1360611,yes they are.,no they're not.,1,,
1360812,what about it?,look at look on here.,-1,preposition,
1361224,are you going to put on snow tires?,big tires!,1,,
1361290,I don't know.,I don't know.,1,,
1361435,no with wheels I got.,it's a train.,1,,
1361449,which one?,that one over there.,1,,
1361728,nope.,because why?,-1,other,
1362209,no it's stuck.,it's stuck.,1,,
1362263,what?,my my my barrels.,1,,
1362478,where should I put mine?,right here you put the other one.,1,,
1362648,I can't fix em.,I can I can.,1,,
1362900,it's not working very well.,I can do it.,1,,
1363097,put this guy no put that in there okay.,what that?,-1,verb,
1364710,no.,what is it?,1,,
1364957,mm did you put them all in order?,yep look.,1,,
1365023,we're not in a hurry.,you're going to hurry.,1,,
1365104,what is this one?,a green.,-1,subject,
1365490,no I'm going to take three of them out.,one's out and I'm going to take em out and then I'm going to put em back in.,1,,
1366244,I want something to do.,I want something something.,1,,
1366307,sleeping sleep let's sing one more song!,we didn't sing a song of this.,-1,preposition,
1366498,because it's easy that way.,she not she's going to not going to walk.,-1,other,Self-correction
1366607,what?,a tiger.,1,,
1366721,checker big a checker.,look at.,-1,object,
1366949,barn hope the barn fits.,what is that?,1,,
1367042,I can go over there.,maybe it can go over there.,1,,
1367488,got ta do this better.,put it on.,1,,imperative?
1367702,a goes like this.,it can go like that or can it go like that no.,1,,
1367736,Peter.,what is this?,1,,
1369079,no what does it do for the fireplace?,it does.,-1,object,
1369240,alright.,this is Santa Claus.,1,,
1369727,what are you going to do?,do this.,-1,subject,
